dialect,literary
yegʼlamaq,yigʼlamoq
yeddi,yetti
yәzdә,yeznә
yәznә,pochcha
yeyilmәk,yozilmoq
yeymә,yupqa koʼrpa
yek,yomon koʼrmoq
yelәk,xotin-qizlar kiyimi
yeklәnmәk,yek kөrmәk
yelәk,ayollar choponi
yelimshәk,yopishqoq; yelimsimon
yelpis,shamol
yelpildәmәk,hilpillamoq; tebranmoq
yenә,yana
yenchmәk,yanchmoq
yeqnamaq,yigʼmoq
yepkin,әpkьn
yer,yer
yesap,isap
yesәr I,
yesәr II,chaqkon
yetәshmәk,yetaklashmok
yetmәk,yetaklamoq
yetirmәk,yetkazmoq
yesh,hech
yөch kim,hech kim
yeshik,eshik
yishkim,hech kim
yilik,yүlүk
yilimәk,jilmoq
yiltildәmәk,hilpillamoq
yipәk,ipak
yipүpүch,popishak
yit,ket (itni haydab
yitirmәk,yoʼq etmoq
yitti,juda
yʼgʼirmaq,burishtirmoq; tirishtirmoq
yigʼnamaq,yeңmaq
yigʼranmaq,ыgʼranmaq
yʼynamaq,yigʼmoq
yiqmaq,yiqitmoq
yʼlamaq,yegʼlamaq.
yʼlʼqma,yʼlʼnma
yʼlʼmjʼ,
yʼlʼnma,iliqadigan
yʼlu,
yʼmʼrta,tuxum
yʼmʼrtqa,yʼmʼrta
yʼmriq,musht
yiqnamaq,yigʼmoq
yomasa,boʼlmasa; aks holda
yolmasa,boʼlmasa; aks holda
yogʼiyn,yoʼgʼon
yonja,yorʼnja
yonigʼchʼ,duradgor
yonʼshtʼrmaq,eplashtirmoq
yoqʼrchqa,yorʼnja
yoqqa,payraxa
yoq,yaң
yorgʼin,koʼrpa
yorʼnja,yoʼngichqa
yorʼmaq,taʼriflamoq
yormaq,yorʼmaq
yorpaq,yaproq
yo:gʼan,yog
yөlүn,harom magʼiz
yөtkirik,yүtkьrьk
yөn,qulay
yuvanmaq,yupanmoq
yuvusqa,yu:sqa
yu:q,yaqin
yuqum,foyda
yuma:q,yigirishga tayyor qilingan paxta tu- tami
yumʼrtqa,yʼmʼrta
yu:sqa,
yүzmәk,suzmoq
yүzikishmәk,1. uchrashmoq; 2. yuzlashmoq
yүzikmәk,1. yuz koʼrmoq; 2. koʼzikmoq
yүyirmәk,yugurmoq
yүlүk,ilik
yүlүn,harom magʼiz
yүlүq,yүlүn
yүnүl,yengil
yүqlәmәk,rivojlanmoq
yүpәk,yilәk
yүrimәk,yurmoq
yү:rәk,yugurik
kardi,dimogdor
ka:za,1.kichik kapa 2.kaza
ka:l,suv yuvub ketgan 
ka:n,koʼp:
ka:r,ish; vazifa; kasb
ka:sa,piyola:
kәbzә,
kәvәk,1.kavk 2.Qoshkopir 
kәvimәk,kakramok 
kәvin,koʼngil:
kәgirdәk,
kәj,1. kingʼir 
kәlәvach ,ipni kalava kilib oraydigan asbob 
kәlәk,shoxsiz echki
kәlәntәr,1.obkash 2.aʼyon
kәlәp,kalava(ip kalavasi)
kәlәpәtrә,tartibsiz 
kәlәsәn,axmok
kәllәk,kallak (daraxt shoxini chopish)
kәllәki,1.popokning bir turi;
kәltikәlәs,ankov (gapga kulok solmaydigan 
kәlchik,sokov 
kәlchiklәnmәk,1.duduklanmok 2.oʼz tiliga boshka tilni aralashtirib soʼzlamok
kәms,1. yarimta 
kәmis-kәdik, kamchilik. 
kәmmal,kambagal: 
kәniz,karniz. 
kant ,el; qishloq aholisi
kәntikәsәk,bisot
kenshirik,qanshar:
kәpin,kafan
kәpmәk kepmoq,qurimoq
kәppә,vayrona
kәpshirmә ,ulash (svarka): 
kәrvʼch,gʼisht:
kәrg,1. molning qorni dam boʼlganda ogʼziga solinadigan yogʼoch. 
kәrsʼ,ba-liq tutadigan savat
kәsirtkә,kaltakesakning bir turi.
kәt,karavot
kәtәn,qalin materiya (eshik parda
kәtәv ,hayvonlar tomogʼiga chiqadigan yara
kәtxuda,aqli raso
kәch,hatto
ham,
kәchkәrt,
kәshkәt,oʼroq-simon pichoq (oʼtoqda
Kәshmәk ,oʼgʼirlamoq
kez - asp,keyin
keli,oʼgir
kense,idora
kechkәy ,koshki
keshәnә ,sabil
kiynә,
kikik ,tutilib
kikirdәk,
killikcha,koʼkrakcha
kilit,kalit
kʼlmәk,
kʼmildirik ,
kʼrmәv ,chalmaq - chal moq: 
kʼrkʼrә, sholi tegirmoni
tiydәn ,teydәn
tiyip ,teyьp
tiymәk ,deymәk 
tikәch ,tukәch
tiqnirdәmәk ,dingirlamoq
tip ,di:v
tiskinmәk ,seskanmoq
tʼypaq ,tʼypaq ashыq-xirpa oshiq
tʼkʼr ,qыtʼr
tʼqqin ,probka
tʼmaq ,yung yoki ipdan qilingan bosh kiyimi (qishki)
tʼnʼmaq ,dunʼmaq
tʼrʼmsaq ,tirishqoq
tʼrnaq ,dʼnnaq 
tʼrtʼm ,jimjit 
tovshan ,tovushqon
togʼalaq ,omaloq
toqgʼir ,yog idishi (tunukadan)
toqgʼirtqa ,toqыtqa
tomʼrtqa ,toqыtqa
toq ,muz
tor ,1. ov toʼri; 2. deraza pardasi; 3. toʼriq (ot rangi)
torqa ,totra
torqildamaq ,taraqlamoq
torriq ,ipning notekis joyi
torsaymaq ,zoʼr qaygʼuga tushmoq
tosalaq ,serjahl; sirkasi suv koʼtarmaydigan. 
toshnav ,Qip. obrez
toshshʼ ,obrez
tөbә ,dәpә
tөbәlәsh ,dәpәlәsh
tөgәnәk ,togʼalaq
tөgin ,dөkьn
tөzmәk ,dөzmәk
tulp ,soxta buzoq
turʼsh ,1. nordon
tuta:niq ,tүtәnәk
tutashtʼriq ,tutantiriq
tutuq ,deraza pardasi. 2. xira
tushoxa ,ayri (ikki shoxlisi)
tu:t ,tut (daraxt)
tүzүv ,dүzьy
tүy ,tuk:hoppʼ sәmьz yazgʼʼ yoq
tuymә ,dүymә
tүymәk ,dөvmәk
tүkәnmәk ,tamom boʼlmoq
tүkәch ,chakich
tөmәn,past
tөqlik ,dү:nьk
tөshәk ,tushak
tө: jim ,әtmәk-yigʼmoq jamlamoq
tuvrama ,ovqatning turi
tuzoq ,qopqon
tuynaq ,teri qiradigan asbob
tүlp ,turp
tүqkә ,tunukadan yasalgan chiroq
tүniyn ,u kuni
tүnmәk ,dүnmәk
tuqni ,tүnkь
tүqlүk ,dү: nьk
tүrmә ,ipakdan toʼqilgan sochoqsimon roʼmol
tүrrә ,darra (oʼyinda)
tүtүk ,dүdүk 
tүrshәk ,achchiq; nordon
tүtәnәk ,tut qoqadigan chodir
tүtәnik ,tүtәnәk
tүflik ,tupurik
ravak,ravok 
ravarag,lang 
ray,istak
rapʼrdavik,sergap
ratalla,
ras,tUrgenchi
r:ash,rosh (arik cheti
rejje,1.reja plan 2.ustlarining rejasi
rep,suri (pilla kurti surisi)
repi:de,yenchilganing katta turi
repche,1
repab,rubob
rʼbap,rebap
rʼsva,rasvo
rʼssik,rizk
rev,1.rux. 2.rang
rodapay,landavur
roray,ataylab
rostayʼ,befaxm
re:pek,1.dastrumol; rumolcha 2. rumol
re:shen,
rujje,
sabaq,savax
savax,
savʼslanmaq,sagыslanmaq
savgʼat,soіgʼat
savmaq 1,sovmok
savmaq 2,sapmoq
sagʼalaʼrʼq,baliqning kuyi jagi
sagʼalmaq,sogʼaymoq
sagʼat 1,soat
sagʼat 2,1. yomon 2.qaysar
sagʼislanmaq,roxatsizlanmok
sagʼsʼlanmaq,sagʼыslanmaq
sazaq,sazoq
sazmaq,ozmogʼ
say,sayoz
sayaq-sandʼraq,axloqsiz
sayʼn,sonicha
sayʼsman,otbokar
saymaq,1.savamoq 2.savalamoq
saqaq,bagʼbaqa
saqqiz,saqich
saqqal,soqol 
salapcha,sʼlapcha
salbʼramaq,shalviramoq
salvʼramaq,salbʼramaq
salgʼit,solgʼыtchʼ
saldam,bьlәn
salqim,sәrxыm 
sallanmaq ,chayqalmoq
salma 1,ariq
salma 2,xamir ovkatning bir turi(tupla)
salt ,bұl
sambʼrdamaq ,valdiramoq
samsamlanmoq ,ezmalik kilmoq
sandal ,1.sandon 2.etikduzlar asbobi
san-sagʼʼsh ,san-sanaq
san-sanaq ,son
sandʼraklamaq ,sandʼramaq
sandʼramaq ,1.valdiramoq
sanchqi,balik tutish asbobi
sanchu,sanchiq
sanalaq ,saңaraq
sanaraq ,danak
saqi ,sәnңь
saqimaq,sәnьmәk
sapan ,sopqon
sapigʼ ,sapʼsh
sapmaq ,ulamoq
sapʼsh ,payvandlash
saralmoq ,sargʼaymoq 
sarʼnjaq ,argʼimchoq
sarʼ,sa:rʼ
sarsigʼ,maʼlumot
sarsʼlmaq ,1.lұqnllamoq 2.xomush ұtirmoq
sarʼsmaq,yemoq
sarxim,1.suv kuzasining qopqogi 2.krujka
sasʼmaq,1.sasimok 2.anqimoq
sassʼ ,sa:sʼ
satan ,oyoqning tizzadan yuqori qismi
satashmaq ,1.ұralishmoq 2.yuliqmoq 3.janjallashmoq
satʼl,oshpichoq
satʼljan,zotiljam
satʼn,1.sotib olmoq 2.sotib olinadigan
satqaq ,sukish
sattiq ,vosvos
satuv ,sotish
sachaq,sochiq
saxil,saxiy
saxtʼyan ,maxsi qiladigan bir tur teri
sa:z 1,muzыka
sa:z 2,sinch
sa:n,1.sanoq 2.son
sa:rʼ,sarigʼ
sa:sʼ,sasiq
sәvinmәk ,sevunmәk
sәvlәmәk ,suzlamoq
sәdәp ,tugma
sayʼn,sayʼn
sәlәq,sәli:n
sәlәpchә,chilopchin
sәldirәn ,omonat turgan
sәli:n,bir tur usimlik
sәlkә,serka
sәlkәymәk ,bushamok
salki ,Bush kuymoq
sәlkildәvik ,silkitib tashlaydigan
sәlөv ,anqov
sәlpildәmәk ,1.rivojlanmoq 2.tebranmoq
sәmsәm ,bilq-bilq
sәndirәklәmәk ,sandiroqlamoq
sәn ,muz parchasi
sәnimәk ,sanqimoq
sәqki ,sәңңь
sәqqi ,sayoq
sәpәlәmәk ,1.siypalamoq 2.sepmoq
sәrәnch ,uzun tayoq
sәrәshәv ,1.obdova 2.past-balandlik joy
sәrgizdan ,sargardon
sәrdava,1.usti gumbaz kilib ishlangan yer osti suv ombori 2.savil
sәrjүsh,kalampir va yogʼning maydalangani 
sәrdoz ,kanopdan nozik qilib eshilgan ip 
sәrilmәk,erkalanmok
sәrkөy ,kalin
sәrmәk ,yoymoq (quritmoq)
sәrmәlәmәk ,1.sinchiklamoq 2.zoriqmoq
sәrpilmәk,1.orkaga chekinmoq 2.engilmoq
sәrposh ,1.bosh kiyimi 2.idish ustiga yopiladigan xar kanday yopiq 
sәrri ,jinnisimon kishi 
sәrүnә ,samovar
sәs,ovoz
sәtәqi,ongsiz
sәtәri,tentak
sә:r,saxar
sә:t ,soat
seyil ,sьyl
seylәmәk 1,saylamoq
seylәmәk 2,sayramoq
seyrәmәk,seylәmәk
sechә,chumchuk
se:mush,uch burchak 
se:rәk,siyrәk
siyirmәk,tozalamoq (burun xakida) 
siyl,sayl
siyrә,sira
siysxana,otxona
silә,kuch
silә,doka
silөv,sәlөv
simkә,kұk
sinir,tomir
sinirik ,mishiriq
sinirmәk ,sьyьrmәk
sipirinch ,xoroz (tegirmon) unini supuradigan supurgi 
siplik,axlat 
sipsә,supurgi 
si:n:,sinchiqlab-karamoq
sʼgʼir,sigir 
sʼdʼrʼm,oqmoq
sʼzlәmaq,sizmoq
sʼzat,suv
sʼyʼr,sʼgʼыr
sʼylamaq,siylamoq
sʼyʼrmaq,supurmoq
saymaq,sigʼmok
sʼynamaq ,sinamoq
sʼypanmaq ,sirgʼanmoq
sʼyraq ,boldir (oyoqning tizzadan kuyi kismi)
sʼyriq ,uzun yogʼoch
sʼyrʼlmaq,sirpanmoq
sʼlapcha,chilopchin 
sʼlmaq,shilmoq
sʼlu ,chiroyli 
sʼmbʼrdamaq ,sʼmmʼrdamaq
sʼmmʼrdamaq 1,jimirlamoq
sʼmmʼrdamaq 2,mingʼillamoq
sʼmsʼm,ezma
sʼnaq-sartiq,noxush xabar 
sʼnnaychʼ,surnaychi
siniraq,oyoq payi
sʼpayʼ,xon amaldori
sʼpra ,supra
sʼpʼrmaq,tozalamok
sʼrgʼiya,foydasiz kishi
sʼrʼq,sʼyrыq
sʼrʼnmaq ,ozib ketmoq
sʼrqizmaq,sirqitmoq
sʼtʼlmaq,tirsillamoq
sʼtqa,galvirning bir turi
sʼtmaq,siqmoq
sʼtra,1.figura 2.bashara
sʼchan,sichqon
sʼchramaq,sachramoq
siqman,un oshining bir turi
sobʼraymaq,shumshaymoq 
sovmaq,ұtkazmoq
sovulmaq,tamom bұlmoq
sozmaq,chұzmok
soqi,keli
soqta,soxta
solqʼldamaq,Khivaillamoq
solqim,bosh
sonlamaq,tugatmoq
sorikmak,sұrib olmoq
soxta,qimor ұyini
sorgʼʼchlamaq,yelimlamoq
sөvmәk,sevmoq
sөvүnmәk,suyunmoq
sөvүt,tol (kora tol)
sөylәmәk,sұzlamoq
sөl,sel
sөlәkәy,1.sұlak 2.bұshang (odam)
sөllemәk,sұzlamoq
sөnәk,sүnәk
sө:bәt,suxbat
sө:l,sөl
suvarmaq,sugʼormoq
suvgʼarmaq ,suvarmaq
suvulmaq,sovulmaq
sugʼʼnʼm,suqыыnʼm
suqinʼm,siqim
sullaymaq,xoldan toymoq 
sur,su:r
suran,qiy-chuv
susaq,chұmich
su:maq,sovmaq
su:r ,qora kұl terisining aʼlo navi 
su:saq,susaq
sүvүnmәk,sөvүnmәk
sүzәk,suzagʼon
sүzmә 1,drushlak 
sүy,suv
sүymәk,sevmoq
sүylүn,tustovuq
sүyrәmak,sudramoq
sүlәkәy,sөlәkәy
sүlәkәt,qobiliyat
sүlgi,sochiq
sүlgin,qirgʼolvul
sүlyin,sүlgьn
sүllәmpay,landavur
sүlpә,ogʼiz suvi
sүmәlәnmәk,suykalmoq
sүmrәymәk,sүmsьnmәk 
sүmsik,sьmsьk
sүmsinmәk,shumshaymoq
sүmүrmәk,shimirmoq
sүndikmәk,kokilmoq
sүnnʼkmәk,sүndьkmәk
sүnnә,mutaxassis
sүnnәchilik,1.kasb-kor
sүnchikmәk,sүndьkmәk 
sүnәk,suyak
sүri,1.tұda 2.kұy podasi
sүrnikmәk,sүndьkmәk
sүrrәmәk,sudramok
sүrүv,sүrь
sүtliyan,bir ұt
sүchi,sү:jь 
sү:jʼ,1.chuchuk
sү:kәnmәk,suykanmoq
sү:mәk ,sөvmoq
sү:ri ,xuddi
labʼr |,changak (yakorь)
labʼr ||,bili-bidi
labʼrdamaq ,tez-tez gapirmoq
lavash ,churak non
lavʼr-lavʼr ,tushunti-rib gapira olmaydigan kishi 
lagʼva ,sergap
lagʼʼm ,lagʼ
ladan ,nondon
lazʼm ,fotiha
lazʼma ,xotin-qizlar ishtoni
laylama ,yarim qazuv (sugorish termini)
laylamaq ,chalgʼitmoq
laqalaq ,beoʼxshov (kiyim); haddan tashqari keng
laqam ,laqab
laqamcha ,mol damlanib qorni shishganda ogʼzini yirib bogʼlaydigan yogʼoch; 
lakir-lakir ,yurakning behol boʼlib qolishi: 
laqirdaviq ,boʼlar-boʼl masga gapiraveradigan odamga qoʼyilgan laqab
laqqasa ,bir oʼyinning yoʼli
laqqi,sergap; bemaʼni soʼzlarni soʼzlovchi (odam)
lalazar ,goʼzal
laparmanʼy ,naparmanʼy
laq ,oʼlat
lapa ,la:pa
laplama ,turli boʼyoqlarning aralashmasi 
lar ,1. miltiqning bir turi. 2. suv oʼyib ketgan yer 
lars ,yetishgan
la: pa ,konvert
lash ,murda
lәbәk ,poʼstin tevaragiga tutiladigan teri
lәvap ,shovlaning suyuq pishgani
lәva: pʼ ,kosa
lәvәy ,labbay
lәvәnt ,1. ishyoqmas
lәgәn ,1. xamir qiladigan idish; 2. laganbardor
lәzgi ,oʼyinning turi; kuy
lәkki ,kichik sopol tovoq (toʼylarda mehmonlarga osh tortiladi)
lәk-lәk ,pora-pora
lәnj ,1. lanj
lәnch ,lәnj
lәn ,oz-moz oqsab yuradigan (odam)
lanki ,bolalar oyogʼi bilan tepib oʼynaydigan bir parcha poʼstak
lәpәq ,lapashang; noʼnoq
lәpәr ,xotin-qizlar bezagi (bosh kiyimiga osila-digan yakka tanga
lәppәs ,landavur; oʼta yalqov
lәppik ,boʼsh (yogʼi dogʼ boʼlmagan osh hakida: 
lәpshә ,1. bugiz-ning toʼriga chiqadigan mayda yara; 2. ovqatning nomi
loqqʼ ,1. mevaning kattasi
lolʼ ,1. buzuq. Fohisha
londʼ ,kiyim kiysa kelishmaydigan (odam)
longʼir ,1. vazmin
loppʼ ,1. semiz; 2. yumaloq yuzli
lor,lars
lөtәrә ,1. toʼrtta: 2. suvning tagiga choʼkkan loy. 
le: v ,lab 
le: z ,lafz
lezi: iә ,shirinlikning bir turi. 
lux ,1. dux (qovun osadigan lux); 2. oq joʼxori-ning boshoksiz kismi
lechәk ,lәchәk
likildәvik ,1. beqaror; bir yerda turmaydigan kishiga quyilgan laqab. 2. bolaning boshiga taqiladigan bezak. 
lilli ,tentak
lүkchә ,1. yax-lit
lүni ,oʼlik yuvuv chilar kiyadigan maxsus qoʼlqop
lүppә-lүp ,limmo-lim (idishga suyuqlikning toʼlishi).
magʼaldaq,oʼmboloq; ~oshmoq - oʼmboloq oshmoq
magʼiz,1. tutuk 2. koʼrpaning magʼizi
magʼlay,peshona
may,yogʼ
maya,moyak
mala-majʼr,1. tuturiqsiz
malgʼam,balgʼam
maqlay,magʼlay
maqlaycha,durra (boshga oʼraydigan kichik roʼmol)
mardan,gʼalla solish uchun qoʼllanadigan katta idish
mardash,chordona
mat,jim
maxmal,baxmal
nava,na::va
navax,kachon
navʼ,navʼ dьysen
navkan,no:kan
naxan,no:kan
navxʼna,tonuk kuz
navcha,gura
navchun,nima uchun
nagʼm,lagыm
nazelin,
nazvay,gulrayxon
nakish,naksh
nalʼnmak,nolimok
nama,kuy
nambay,novvoy
naparmanʼy,rangning turi
naxan,
naxal,taka
nashpotʼ,nashvoti
paravʼz,1
parʼmaq, 1 chidamoq
parmal,okuchka
parrʼldamaq,lorullamoq
partal,partav
pasmanda,past
pat,kuch
patas,tuproq aralashgan somon; poxol
patʼya,fotiha
patʼrdamaq,pitirlamoq
patlavʼq,paqlavыq
patlanmaq,badlanmaq
pat - pat,
patrat,chatoq
pattʼ - sattʼ,mayda - chuyda
paxir,faqir
paxtәk,qumri
pәdik,
pәzzә,tutantiriq
pәlәnch,gʼoʼzapoya 
pәq,tirgak
pәryәr,sirkulga oʼxshagan asbob
pәrdi: val,
pәrish,yupqa parda
pәrt,pәrtьnь chәkmәk
pәrch,zich
pәspi:l,kamtar
pәt,paxmoq
pәtik,ship (potolok)
pәtirәk,kichik patir
pәtrәmәk,titmoq
pәchәkdәnә,pechak urugʼi
peyda,foyda
pәttә,bog
pәttәlәmәk,
perish,pәrьsh
pesh,1. pechka; 2. mehmonxona
peshagʼana,pe:sha:na
pe:sha:na,
peshkil,fartuq
peshkir,peshkьl
peshmәk,pashmak
pe:sh,chopon
pe:shә,yumush
pilәmәk,үflәmәk
pilis,mogʼor
pilislәmak,mogʼorlamoq
pitin,butun
pitmir,hiylagar
pittә,picha
pishәk,pishkak
pishik,mushuk
pishkә,
pishmәk,1. pish- moq (osh haqida); 2. yonmoq
pishtә,pushta
pʼqirdamaq,biqirlamoq
pʼlpʼldamaq,limillamoq
pʼrsʼldaviq,munchoq
pʼssʼ,qurʼmaq
pʼsliq,bemaʼni
pʼsmʼl,1. ichi qora (odam);2. bir tur kasallik.
pʼt,but
pʼtaq,budaq
pʼtʼraq,tikon
pʼchqʼ,bʼchqы
pʼshʼq,mushuk
pʼshʼq,bermәk
pʼshlamaq,pishillamoq nәyә sәn sʼgʼыrdʼyn pʼshlʼyvәrәsәn? (Xiv
podʼr,1. pudra; 2. toʼzon
poya,qogʼoz kabi yupqa qalayi
polas,sholcha
porqan,porxan
porriq,1. qamish tomiri; 2. toʼlqin chiqarib tashlagan oʼtin
porsaq,chang
porsʼq,boʼrsiq
porsʼmaq,changimoq
port,moʼrt
porxan,parixon
shovurdʼ,shivir-shivir
shoqurdamaq,gudurlamoq
shoqurdʼ,
sholqit,sholqыtʼ chiqmaq
sholtiq,buzilgan
shombʼrdamaq,emәtvaynʼ
shor,nordon
shoxum,shovqin
shunnʼyn,shunday
shunchaqlʼ,shuncha
shүnchәll,shunchalik
shүndәtip,shunday etib
shүntip, shunday qilib
shүttik,jinchiroq
