Title,Meaning
Абдол,"Шайдо, тентак"
Абжўш,Маска навли узумни махсус эритмада иссиқ вақтида куйдириб майиз ҳолатига келтирилгани
Аваздунак,"Маҳалла номи. Ривоят қилишларича, Аваз исмли бир йигит қум этагида қовун экади. Сувсизлик туфайли экин тўлиқ пишмай қолади. Қовун хом бўлсада йигит уни хонга тортиқ қилади. –Нима бу? – хомлиги билиниб турган қовунни кўриб жаҳли чиқаркан. –Қовун, –дебди Аваз бамайлихотир. – Лекин пишмай қолган, сувсиз ўсган. –Қаерда яшайсан? У ерни Аваздунак, деб номлаймиз, – дебди хон."
Авваламан,Болалар ўйини
Авлиё,Адабий тилдаги бу сўз Хоразмда қабристон маъносида ҳам ишлатилади.
Авусаранг,"Овсар, паришонхотир"
Агизак,Эгизак
Агланмак (эйланмак),Кеч қолмоқ
Адан,Остона
Адан,"1. Чиқинди сув кетадиган чуқурча. 2. Ўтган давр хонадонларида аданда-дарвоза олдида қурилган хоналар эркакларга ажратилган, эркаклар уй соқчиси ҳисобланган. Тўрда–ичкарида қурилган хоналар хотин-қизларга аталган."
Адик,Этик
Адил,Одил
Ажаб,Хўп
Ажжи,Аччиқ
Ажиди,"Сут айниб қатиқ бўлаолмаган ҳолат, аммо пишлоқ қилса бўлади"
Ажиз,Заиф
Ажина,Жин
Ажир,Азоб
Ажойибхона,Музей
Азиб ичар,Бола бу нима деб эзмалаб сўрайверганда шундай жавоб берилади (эзиб ичадиган)
Азиб қўй,Кирни сувга солиб қўй
Азиб олиб сар,Кирларни сувга эзиб сиқиб олиш ва торга осиб қўйиш
Азик,Эзилган
Азилган,Бу одам эзилиб кетган
Азма,"Бир гапни қайта-қайта гапираверадиган, майда гап инсон."
"Айди, эйди (сигир)",Ийди (сигир)
Айланиб ўврилиб,Бир гапни қайта-қайта такрорлайвериш
айтдим).,nan
Ака,Ота
Акди,"1.Экди 2. Синдирди, нобуд қилди, кўкка совурди"
Акиш бошланди,Масалан чигит экиш бошланди
Аккалдила,Олиб келдилар
Акламоқ,"Девор, дарахтларни оҳак билан бўяш"
"Акмаган жойда гўкариб чиқади (белбоға галади,
ўроқа галади)","Бемаврид сўзлайди,"
Акс,Ўжар
Аксилмак,Камситилмоқ
Ал,Қўл
Ала,Элакдан ўтказ
Алавраб юрмоқ,Бошқалар наздида самарасиз ҳаракат қилиб юрган одам
Алакчилик,Элак ясайдиган усталар яшаган маҳалла номи
Алам,Қабристонларга тикиладиган алам рўмол
Алам атади,"Кўнгил қолиши (шу ишни вақтида қилмаганим алам қилади, кўнглимни ғаш қилади)"
Аламимни ола- ман,"Ўч оламан, аламзадаман"
Алас,Табобатда ишлатиладиган ҳар хил гиёҳларни чала ёнган тутинидан “алас-алас” қилинган. Бу одамларни ёмон рухлардан тозалаш мақсадида бажарилган.
Алаштирманг,Айбга буюрманг
Алдикча,Ёш бола кийимининг кўкрак қисмига овқат томмаслиги учун боғлаб қўйиладиган мато
Алжирама,Бўлмағир гапларни гапирма
Алима қўнди (қуш),Қўлимга қўнди (қуш)
Алли,Эллик
Алпатак- елпатак,Бирдан шошиб қолиш. Масалан: тўсатдан меҳмон келиб қолса хонадондагиларнинг шошиб қолиши.
"Амай
(тарозининг амайи)",Тарозининг палласини созлаш учун енгил келган томонига бирон юк қўйиб паллани тенглаштириш
Амбиятчилик,Тўкин-сочинлик
Амдомли,"Жуда яхши, қулай."
Амжак,Эмчак
Ана,Буви
Анака,Энага
Ананга тўйлик галдими,"Онангга тўйлик келдими. Ҳечкимга қарамай, эътибор бермай уйига югуриб бораётган (ё велосипедда, ё машинада, ё отлиқ ё пиёда) шошилиб, тезликни ошириб, ҳурсанд бўлиб бораётган, отаси ўтиб кетган “онабезори” йигитларга кесотиб айтиладиган гап. Нимага? Чунки у тезроқ онасини эрга беришни ўйлаб юрганини маҳаллада ҳамма билади. Совчилар кетиб қолмасинлар деб югуриб келаётган бўлади. Ҳозирги кунларда тезликни оширмаслик лозим бўлган ёш болалар тўла кўчада машинани тез ҳайдаб келаётган ҳайдовчиларга кесатиб айтилади."
Анаполвон,"Кичик Полвон каналига сув берадиган катта Полвон канали. Умуман суви тарқаладиган катта канал кичик каналларга нисбатан ана, яъни она ҳисобланади. Енисей дарёси номи ҳам Энасой сўзидан келиб чиққан."
Ангак,Ияк
Ангариқ,Маҳалла номи
Ангилмак,Эгилмоқ
Ангқилдоқ,Анқов
Ангса,1. Энса 2. Қарз
Ангса атиб қўйдим,Қарздор қилиб қўйдим
Ангсалашмак,"Бир биридан аразлашмоқ, бир-бирини менсимаслик"
Ангширмоқ,Фаҳмламоқ
Андармон,Машғул бўлмоқ
Андин сўнг,Ундан кейин
Андратоп,1. Ажойиб 2. Маъқул 3. Яхши
Анжомхона,Омборхона
Анойи,"Бу бошқача одам, ҳар нарсани биладиган, чаққон"
Апика,Опа
Апир,"Ўта муғомбир, олчоқ одам"
Апкин,Енгил шабада
Аплама,Сифатсиз
Априк,"Қуюқ, аммо ёпишқоқ бўлмаган суюқлик"
Апсиз,Эпсиз
Аптик,"Аптека, дорихона"
Ар,Эр
Ар-хотин,Эр-хотин
Аравламак,Оёқ остида чувалашмоқ. Ҳамма ишга аралашавериш.
Арвик,Маҳалла номи
Арганак (Арянак),"Панжара, темирдан ёки тахтадан қилинган тўсиқ"
Арзойил,Азройил
Арик,Ўрик
Арка бола,Эркатой
Аркак,Эркак
Аркалик,Эркаланиш
Армак,Эрмак
Армисоқдан қолғон,"Ота-боболардан қолган, эски даврлардан қолган, қачондан бери борлиги номаълум"
Арповойдон,Арпабодиён
Аса,Ундай бўлса
Асанкираш,Эсанкираш
Асар,Эшитганимдан ҳеч нарса қолмади (ҳеч нарса)
Асвак суви,"Суғориш тури, барча сув белгиланган жойга етиб келиши учун пастдаги жўякларнинг бекитилиб, юқорида жойлашган далаларга сув бериш усули."
Асди (шамол),Эсди (шамол)
Асирма,"Катта кетма, мағрурланма, толтайма"
Аспи жаллоб,От ўғриси иборасидан келиб чиққан бўлиб фирибгар маъносини англатади.
Астанроқ юри,"Секинроқ, шошилмасдан юргин"
Атак,1.Кийим этаги 2.Тоғ этаги
Ағдариб урди,Курашда шеригини бошидан ошириб ерга кураги билан уриш
Атойи мулк,"Ерли мулк, умрлик берилган ер майдони, мерос қилиб қолдириш ҳуқуқи билан"
Афтода,"Уст-боши кир, йиртиқ.юз-қўли ювилмаган"
Ахр манда на гунох,Мен гуноҳсизман-ку
Аҳамиятчилик- да,Фурсат бўлганда
Аък,Оҳак
Бавак,Чақалоқ
Бағрима босдим,Қучоғимга олдим
Бадастур ишлаш,Тартибли тарзда ишлаш
Бадланиб қарамоқ,Ёмон кўз билан қарамоқ
Бадрўй,"Бадбашара, кўримсиз"
Баёт,Давлатли
Базирён,Савдогар
Бак,"Бек, маҳкам, ёпиқ"
Бакдурди,"Бектурди, маҳкам турсин, деб қўйилган ном, Турсун исми каби"
"Бакжон, Бакчон","Бекжон, бола исми, якка-ёлғиз ўғил бола туғилганда жоним маҳкам тўхтасин деб ном қўйилган (жоним болам дегани)"
Бакла,"Ёп, бекит"
Бакра,Осётр балиғи
Баққа,Сут (бола тилидан)
Балли,"Аниқ, белгиланган."
Бало ( яхши ва ёмон маънода),"1. Бу бола боламас бало (офат, фалокат) бўлди. 2. Бу болам жонимнинг озиғи, бало, ҳамм а гапни тушунади."
Банди,"Зиндонга кишанлаб ташланган, зиндонбанд"
Барак,Чучвара
Бари гал,Бу ёққа кел
Бас,Бахс
Бахтар (Боғот туманида),Шамолдан панароқ ёки шимол томондан бино билан тўсилган жой
Безувон,"Ювош, мўмин-қобил одам"
Бейи,Беҳи
Бейик,Баланд
Бейиш,Беҳишт
Бекдали,Ҳурматли
Бел,Белкурак
Бера ўтир,Бу ёққа ўтир
Берда,Бу ерда
Берегин,"Аслида Худойберганов бўлган фамилияни ўзгартирилиши натижасида, яъни қатағон даврида қўрқувдан “худой” ўзагини олиб ташланганлиги сабабли пайдо бўлган."
Бесўнақай,"Эпсиз, иш бажаришда нимадан бошлашни билмайдиган, қаерга борса урилиб, туртилиб юрадиган одам. Дастурхон атрофида ўтирганида, албатта бирон нарсани туртиб йиқади ёки чойнакни ағдариб юборади"
Бечка,Дарахт ёки ўсимлик тагидан ўсиб чиқадиган новдачалар
Бешдан-бешдан,"Ўйин тури, бешта кичик тошларни ерга қўйиб, битта тошни юқорига ирғитиб, у тушгунча пастдаги тошдан бирини олиб, тепадан тушганни ҳам ушлаб қолади."
Бешикчи,1. Бешик ясайдиган уста. 2. Бешиктебратар (ҳашорат).
Бешоқшом,"Чақалоқ туғилишидан 5 кун ўтиб бериладиган садақа, гуручли суюқ ош қўшниларга тарқатилади."
Бештирноқ,"Грабля –боғу-роғларда, далаларда хазонларни йиғиштиришда ишлатиладиган асбоб."
Биёра,"Қовун, тарвуз палаги"
Бижғирди,Хамир қориб бостириб қўйганингизда шишиб тоғорадан оқа бошлайди
Бииз,Бигиз
Бийи,Янга
Бика,Оилада ёки элатда ёши катта ёки билими бошқалардан устун бўлган аёл (лидер-етакчи). Бирон бир масъулиятли ишни бажаришдан олдин бика билан маслаҳатлашиб оладилар
Билагўра,"Билиб туриб қилиш, атайлаб қилиш"
Билмабман,Билмай қолибман
Билмин атдим,Билмасдан қилиб қўйдим
"Бир тошимон, ўласан","Бир ураман, ўласан."
Бир ўйли жўвит,"Қовоғини осиб, ҳеч ким билан гаплашмай ўтирадиган одамга нисбатан ишлатилади"
Бир чайим сув,Оғиз чайишга етадиган сув миқдори.
Бир ютум сув,Бир қултум сув.
Бирғи,"Бурайдиган асбоб, отвертка, бурайдиган калитлар."
Бирзамон,Бирпас
Бирмак,"Безори, ёш бола"
Битир,"Битказ, тамомла"
Бичилган,Ахта қилинган
Бичқи,Арра
Бичмоқ,"1.Уй ҳайвон, масалан, қўчқорни ахта қилиш 2.Бўлмаган ёки бўлиши кутилаётган нарсани ўзича таърифлаш"
Бишшиқ,Эзилиб кетган конфет
Блаштирма,Ифлос қилма
Бломиқ,Атала
Блошиқ,Ифлосланган
Бо,Бор
Бодирак,Варрак
Бодли,"Кучли, қувватли"
Бодом бармоқ,Кўрсатгич бармоқ
Боёқи,1.Ҳалиги 2.Илгариги
Божоқ,Аёллар олтин тақинчоғи.
Бой-бўй,Бай-бай
Бойимжон,Бақлажон
"Бойқамак
(Хонқа тумани.)","Ҳурмат, эътибор кўрсатмоқ. Масалан:У бойқоғонни бойқийди."
Бойли,Боғланган
Бойлиқ,"1.Бойлик, 2.Қозиққа боғлаб қўйилган"
Болағина,"Бечора маъносида, ёш болаларга нисбатан ишлатилади"
Боланго   мулк атиб бардингми,"Болангни уйли-жойли қилдингми, отанинг вазифаси боласини уйли-жойли қилиб айрим чиқариш."
Болани иситмаси бор,Болани иссиғи чиқган
Болдиз,Қайинсингил
Болдоқ,Даста
Болиқни ўс,"Балиқни пиширишга тайёрла, тозалаб майдала"
"Болқи тут, оқ тут",Балхи тут
Болоқ,"Шимни пастки, оёқ ўтадиган қисми"
Болоқингни чизға,"1. Велосипед минаётган болага онаси шимингни болоқини чизғаб ол деб мурожаат қилади. Илгарилари велосибед занжирининг устки қисми очиқ бўларди. Шимни ялмаб кетиши мумкин эди. 2. Сувоқ учун оёқ яланг лой қораётганда (тайёрлаётганда), иштонинин болоқини чизғаб (йиғиб) олардилар."
Болор,Том бостирмасида ёғочларни кўтариб турадиган кўндаланг қўйиш учун ишлатиладиган бақувват ёғоч
Болори,Асалари
Болчингирик,Шакарқамиш
Боми,Борми
"Бона га, бона гал.","Бери кел, бу ёққа кел"
"Бона.
(Қачоннан бона сани
қидираман.)",Бери. (Қачондан бери сени излайман.)
Бооно топмо,Баҳона қилма ([О] чўзиб айтилади)
Бора (санга ничча бора,Сенга неча марта айтдим
Борвадим,Борган эдим
Боримман,Бормайман
Борина шукир,Борига шукур
Борломоқ,Йўқламоқ
Борлош,"Йўқлама қилиш, аниқлаш, ҳисобга олиш."
Бормаса гўра борсин,Бормаса мозористонга борсин (кесатиқ)
Бормин-галмин ҳафа атиб қўйди,Ўйламай-нетмай ҳафа қилиб қўйди
Боромакан?,Борарканми?
Боғдош қуриб ўтирди,Чордона қуриб ўтирди
Боғир,Жигар
Боғишамол,"Доимо шамол эсиб турадиган боғ. Хивада шу кунларда ҳам мавжуд, хонлик давридан қолган"
Боғламман,Боғламайман
Боқинмоқ,Тобе бўлмоқ
Боқир,Қоғоз пулнинг ўрнини босувчи темир танга
Боқириб гапла ш,Қаттиқ овоз чиқариб гапириш
Боққи,Бўрдоқи
Боса-бос,Тўполон
Босинқиради,Тушида алаҳсиради
Босирниқиш,Уйқудан қўрқиб уйғонишдаги ҳолат
Бостирмо кўча,Усти берк кўча (Ичон калъада уй-жой учун ер қолмаганда кўчаларнинг ҳам устини бостириб иккинчи қават жой қилинган)
"Ботириб ол, ботр","Сувга анал ив, сувга бос"
Ботис,Юпқа ялтироқ мато
Ботмон,Ўлчов бирлиги
Бохмол,Духоба
Бохно,Қарам
Бохтиқаро,"Иши юришмайдиган, ночор одам"
Бошқаси қуридими,Бирон нарсани солишга челак олиб чиқ деганда. Кўримсиз аҳволга келган челакни олиб чиқганга нисбат
Бошпотроқ,Боши-оёғи йўқ иш ёки маъносиз гап
Бра,Бурга
Бўби (“Ў”га урғу бериб айтилади),“Ит” сўзининг бола тилидан айтилиши
"Бўби галди, ёт","Болаларни қўрқитиш тури, номаълум маҳлуқ билан қўрқитиш орқали ухлашга ундаш."
Буғоз хотин,Ҳомиладор хотин
Будоқ,Бутоқ
Бўён,Қизилмия
Буз бузолоқ,Ўйин тури
Бузиқ,Ҳулқи ёмон инсон
Бузоқвошши,"Бузғувчи, кўпчилик бўлиб яхши иш бажараётганларни бирлигини бузадиган одам"
Бузуқчи,"Синиқ суякларни солувчи, жой-жойига қўйиб даволовчи табиб."
Бузхона,"Муз сақланадиган жой, Хивада шу номда қишлоқ ҳам мавжуд, шаҳарга яқин қишлоқдаги кўллардан қишда музларни кесиб олиб ёзда фойдаланиш учун кўмиб қўйилган."
"Буйин, Бугин",Бугун-бу кун
Бўйинда бо,Ҳомиладор
Бўйро,Намлик ўтадиган жойга чиқмаслиги учун кигиз тагидан тўшаладиган қамишдан тўқилган тўшама)
Бўйродо гулгайсан,"30-40 йил аввал майит бўйро устига қўйиб ювиларди, шунга монанд кесатиб сўкиш тури."
Букилиб дур,Энгашиб тур
Букин,Букланган жой
Буклам,"1. Оқ мато, чит"
Бўкчи,Сакра
Бўкчимоқ,Сакрамоқ
Буқабичим одам,Йўғон гавдали одам
Бўлақўй,Бўлақол
Бўлдомли,"Гавдали, йирик."
Бўлмидўвин,"Бўлмайдиган, бажарилмайдиган."
Булович,Қозондаги овқатни қориштириш учун ишлатиладиган катта ёғоч қошиқ.
Булома (гапни блома),Қориштирма (гапни қориштирма)
Буломиқ,"Суюқ лой, овқат тури"
Буломон,Мусиқа асбоби
Бўлтак,"Соқов, тилида ишкал бор"
Буниси сиза дўғри галди,Буниси сиз учун тикилгандек мос тушди (кийим танлашга оид)
Бур,Симни бура
Бурнойин галиб гетди,Кечадан олдинги куни келиб кетди
Бўрсоқ,Бўғирсоқ
Бурт,Мўйлов
Бурунги замон,"Қадимги, ўтган замон"
Бурунғи гун,Кечаги кундан олдингиси
Бурундиқ,"Ўкиз бурнига тақиладиган темир ҳалқа, ип боғлаш учун."
Бурунч,Гуруч
Бурч,Қалампир
Бурчоқ ёғётир,Муз ёғаяпти.
Бўстон,"Қишлоқ номи, боғи бўстон"
Бутун,Тамомила
Бўша гап,Бўлмағир гап
Бўшоғ,Яйлов
Бўшочи,Бекорчи
Буюргун (Буюрюн),Индин
Буюрмоғон,"Кераксиз, ёмон нарса"
Важ,"Нарса, буюм"
Валатизино,Отаси номаълум
Вано борғонда биламиз,У ёққа борганда биламиз
Варағзон,"Қишлоқ номи, катта ариқдан ирмоқларга шу ерда сув тақсимланади."
"Ви ([и] товуши деярли
эшитилмайди)",У
Ви дурмин гетди,У тўхтамай кетди
Вовоқ,Хивада номи чиққан раққоснинг лақаби
Воғломо,Мўл-кўлчилик
Воғломо шўрва,Фақат пиёздан пишириладиган шўрва
Вожжиллама,Эзмалама
Воззиқ,"1.Қалин, юмшоқ ёстиқ 2.Қумда ўсадиган гиёҳ, тез ёнадиган ўтин"
Воққиллома,"Овозингни ўчир, гапираверма."
Воқрдоди,"Сув қаттиқ қайнаган вақти овози вақр- вақр қилиб чиқади, айниқса, темир чойнакда"
Воно-боно,У ёқ бу ёққа
Воплонг ер,Канал атрофларидаги қуриб қолган сув лойқаларидан тўкилиб юмшатилган дала
Ворсоқи гап,"Бекорчи, бўлмағур гап."
Вос-вос,"Эзма, бекор гапларни қайта-қайта гапириб, гапни чайнаб ўтирувчи."
Вохтинда галмадинг,Вақтида келмадинг.
Вохтихўш,Ҳурсанд
"Га, гал",Кел
Гавади,Келган эди
Гавар,Гавҳар
Гажхак,Қум билан охак ёки ганж аралаштириб қилинадиган сувоқ
Газарман,Кезиб юриб ном чиқарган
Газзик,Навбат
Галавар,Келавер
Галай-галай,Кел-келақол
Галамакан?,У ҳам келадими?
Галвадим,"Келдим, келгандим"
Галди-галмади,Бўлса-бўлмаса
Галди-галмади одам,Маълум фикри йўқ одам.
Галин,Келин
Галин бармоқ,Узумнинг чиройли келин бармоғига ўхшаш нави
Галинча,Келгунча
Галма (гама),Келма
Галмали- гетмали одам,Паришонхотир одам
Галмиман (галимман),"Келмайман. Ёш болага менга кел десангиз, галмиман, галимман деб жавоб қилади"
Галмин-галмин бир галибсиз,Келмай-келмай бир келибсиз
Галсам,Келсам
Гамираман сани,Сани еб ташиман деб болани сийлаш
Гамтик,Кемтик
Гамшик,Тишсиз
Гандимён (аслида Гандимкон),Қишлоқ номи. Қадимда ғалла кони маъносини англатган
"Гап кор атмаслик
(Санга ничча","1.Гап уқмаслик, гап таъсир қилмаслик ( Сенга қанча гапирсам ҳам гап таъсир қилмайди)."
Гап сотиб ўтирибмисла,Ўтган-кечган ҳақида ғийбат қилиб ўтирибсизларми (кўча бошида ўтирган аёлларга айтилаган)
Гаплаганни чўқиб олади,"Чўқиб олмоқ, охиригача эшитмай гапингга гап қайтаради"
Гапни камит,Гапни қисқа қил
Гапни кас,"Жим бўл, тўхта, гапирма."
Гапчи,Гап ташиб юрадиган киши
Гарак,Керак
"Гаракмас, гараксиз","Керакмас, кераксиз."
Гардиш,"Фалакни гардиши, тақдир"
Гаришиб ёп,"Қўлингни орқага чўзиб, қаттиқ ур."
Гаришмак,"Мушакларни ёзиб, қисқартириб чарчоқни ёзиш."
Гашир,Сабзи
Гаъма,Кема
Гежак,Жингалак
Гетжак,Кетмоқчи
Геч бўлди,Кеч бўлди
Геч ёқтилиқ,Кун ботгач кўришилганда саломлашиш пайтида айтиладиган турғун бирикма. “Хайрли тун” сўзи хайрлашиш пайтида айтилса “геч ёқтилиқ” турғун бирикмаси кўришиш пайтида айтилади.
Геч қолдим,"Кеч қолдим, кечикдим"
Гечи,Эчки
Гечмак,1.Сувни кечиб ўтиш. 2.Бировнинг қарзини кечиб юбориш.
Гизла,Яшир
Гизламак,"Бекитмоқ, яширмок"
Гизлан,Яширин
Гизланмажак,Бекинмачоқ
Гийиладўвин бирон нарса борми,"Кийиладиган бирон нарсанг борми, ҳаво совиб кетди"
Гийим,Кийим
Гийла,Гина
Гирмола,Девор сувоқига пардоз берувчи асбоб
Гоода,Гоҳида
"Гопора, (ёпора) одамлар",Айрим одамлар
Губурди,"Шовқин-сурон, мақтаниб гапирувчи одам."
Гувва,Шиддат билан
Гўвик,Суякни чайнаб бўладиган қисми
Гўжа,1. Қишлоқ номи. 2. Олхўрини бир тури. 3. Оқ жўхоридан қилинадиган ош.
Гужум,Нарвон дарахти. Хоразмда ҳовуз бўйларига экилади.
Гўз дикмак,Ҳасад қилмоқ
"Гўз ойдин, ойдинда бўлинг","Бола туғилганда қутлаб “гўз ойдин” дейилади, унга жавоб “ойдинда бўлинг” - ёруғликда бўлинг, раҳмат сизни ҳам етказсин, маъносида"
Гузак,Куз ойи
Гўзаллаб от,Яхшилаб нишонга олиб от
Гўззим,Кўзим
Гўзикмасин,Кўз тегмасин
Гўзли одам,Бир қарашда мақсадингни билиб оладиган одам
Гўзлибобо,Касалликни бир қарашдан биладиган донишманд отахон номидаги қабристон
Гўйдирги,Азоб берувчи
Гўйдирги бола,Ота-онани қийнаб юрадиган тартибсиз бола
Гўйик,Ноннинг куйган қисми
Гўйнакимни гийиз,Кўйлагимни кийгиз
Гўк,Кўк
Гўк барак,Кўк барак
Гўк дарак,Кўк терак
Гўк илдирма,Гўшт қиймалагичдан ўтказилган кўкка сариёғ қўшиб тайёрланган таом.
"Гўкариб чиқди, қўлим гўкарди.",Чимчилаган жойинг кўкариб чиқди
Гулдирмомо,Момоқалдироқ
Гулланбоғ,"Гуллар боғи, маҳалла номи."
Гулликчи,Кунлик мардикор
Гўллохда,"Гўрда, мозорда, йироқда, маъносини англатиб, бирор нарса ёки одамнинг йўқолиб қолишига кесатик қилиб айтилади."
Гулоби,Қовун нави
Гўмиб таша,Кўмиб ташла
Гумла,"Яшир (шундай яширки ҳеч ким тополмасин, маъносида)"
Гўмма,Ярим ой шаклидаги ачимаган хамир ва гўштдан тайёрланган гўмма (чебурек).
Гун ўтиб борётир,"Ҳаёт, умр ўтиб бормоқда"
Гун-аро,"Бир кун ўтиб бир кун (айрим ишлар бугун бажарилса, эртасига қилинмай индинга бажарилади)"
Гўналдим,Ёлчидим
Гунда,"1.Ҳар кун 2.Кундалик такрорланадиган мавзу ёки воқеа, ҳодиса."
Гунинг қурсин,Ҳаётинг қурсин
Гунойим,Айбим
Гунорта,Пешин
Гўнчи,Мол терисига ишлов берувчи
Гуп атиб йиқилди,Турган жойида тиккасига йиқилди
Гупир-пасир,Шарта йиқиб ташланган
Гуппи,"1.Пахталик фуфайка. 2.Семиз, бесўнақай."
Гўр,Мозор
Гўрашда ёғирни ерга тегмаган,Кураги ерга тегмаган полвон.
Гўрда,"Йироқда, номаълум жойда"
Гўрдиксиз,Очкўз
Гуржи ит,"Гавдаси кичик, йирик бўлмаган зотдор ёки зоти айниган ит."
"Гўримлик, ўлимлик.","Жуда кекса қариялар охирги йўлга кузатишда керак бўладиган нарсаларни ўзлари тайёрлаб қўядилар-шуни гўримлик, дейдилар. (бирданига оламдан ўтиб қолса фарзандлар қийналиб қолмасин деб кафанлик, игнасигача, бўйрагача, ғассолга ва бошқа хизматдагиларга бериладиган пулларгача тайёрлаб сандиққа солиб қўядилар, ҳатто қабирларини ҳам олдиндан қурдириб қўядилар)"
Гуринг,Суҳбат
Гўянда,"Бахши, ашулачи."
Ғадир-ғудир,Нотекис
Ғалат,Ёлғон
Ғализ,Бемаза одам
Ғижирди,Ғижирлаган овоз чиқди
Ғилчиқ,"Эзилган, ёпишқоқ лой"
Ғирч-ғирч,Ғирчиллаб овоз.
Ғирч-парч,"Кўп, тўлиб-тошган даражада, омбор тўла."
Ғирчиллама,Этикларни ғирчиллаб овоз берадиган қилиб тикилгани
Ғовуш,Маккажўхори ёки оқ жўхори пояси
Ғожир-ғужир,Тезлик билан бўлди. Иш жараёнида натижасида пайдо бўлган сўз. чиққан товушга тақлид қилиниши
Ғожирдама,"Яхши пишган тарвуз, бақувват одам."
Ғозовот,"Ғози обод канали, Абулғозихон томонидан қайта тикланган"
Ғойир,Ўжар
Ғолвир,Илма-тешик
Ғоли,Гилам
Ғолиз,Бемаза
Ғолло-ғош,Оворачилик
Ғолтинг,Ўнқир-чўнқир
Ғор,Фоҳиша
Ғор-ғоро,Томоқни чайиш.
Ғороз,1. Ғараз 2. Бировга нисбатан кек сақлаш
Ғорозгўй,"Кек сақлайдиган, нияти ёмон инсон."
Ғорсо,"Тез, дарҳол."
Ғорчли амрикон калиш,Эскида энг яхши калиш ҳисобланган
Ғосур-ғусур,Дарров
"Ғўв, ғў",Яхши
Ғўдолоқ,Семиз ва пакана одам
Ғўз,Ёнғоқ
Ғўлангир,Томнинг устига олинган сомонсиз лой қоплама.
Ғўр,Хом
Ғурпа,Семиз ўт
Ғўч йигит,"Абжир, бақувват йигит"
Ғўча поя,Пахтанинг пояси
Даварак,Теварак бўлиб ўтириш (айлана олиб)
Дават,Сиёхдон
Даёв,1. Барзангги одам 2. Қайиқни сувдан итариш учун таянч хода
Дак юри,"Тинч юри, жанжал қилма"
Дакки,"Тўсқинлик қилиш, бирон иш қилмоқчи бўлсанг бўлмағур баҳоналар билан ишга тўсқинлик қилиш."
Дакликда (дакликда галмиди),Шубҳасиз (келмаслиги шубҳасиз)
Дали,"Қўли, кўнгли очиқ инсон"
Дализ,Даҳлиз
Далинган,Жинни
Далладим,Терладим
даллатди,чарчатди
Далтак,Чўқмор
Дам   ол,Нафас ол
Дам солди,Табиблар томонидан беморларни даволаш усули.
"Даминг ичинга тушдими, гапир","Тилдан қолдингми, гапир"
Дамир йўл,Темир йўл
Дамратки,Темиратки
Дана,"Дон, уруғ"
Дандираб гетди,Тентираб кетди
Данжик,"Тартибсиз, ҳар нарсага хархаша қиладиган бола."
Дап,Тепиб юбор
Дапа,"Баландлик, тепалик."
Дапагурунг,Бекорчиликда гап сотиш.
Дапак,Тепағон.
дапалашма,бир неча кишиларнинг узаро муштлашиши
Дапсинма,"Тепсинма, ўз билганингни қиламан, деб чиранма."
Дарак,Терак
